list_type,category,items,id,created_date,updated_date,created_by_id,created_by,is_sample
"accommodation","hotel","[{""name"":""Formal Outfit"",""category"":""clothing"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Room Key Card Holder"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d6cb33d9087c73fd8937a1","2025-03-16T12:59:31.718000","2025-03-16T12:59:31.718000","","thehizki@gmail.com",""
"companion","family","[{""name"":""First Aid Kit"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Board Games"",""category"":""gear"",""quantity"":2,""weather_dependent"":false,""weather_type"":null}]","67d6cb33d9087c73fd8937a2","2025-03-16T12:59:31.718000","2025-03-16T12:59:31.718000","","thehizki@gmail.com",""
"activity","camping","[{""name"":""Tent"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Sleeping Bag"",""category"":""gear"",""quantity"":1,""weather_dependent"":true,""weather_type"":""cold""},{""name"":""Headlamp"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d6cb33d9087c73fd89379f","2025-03-16T12:59:31.718000","2025-03-16T12:59:31.718000","","thehizki@gmail.com",""
"activity","beach","[{""name"":""Swimsuit"",""category"":""clothing"",""quantity"":2,""weather_dependent"":false,""weather_type"":null},{""name"":""Beach Towel"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Sunscreen"",""category"":""toiletries"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d6cb33d9087c73fd8937a0","2025-03-16T12:59:31.718000","2025-03-16T12:59:31.718000","","thehizki@gmail.com",""
"activity","beach","[{""name"":""Swimsuit"",""category"":""clothing"",""quantity"":2,""weather_dependent"":false,""weather_type"":null},{""name"":""Beach towel"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Sunscreen"",""category"":""toiletries"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Sunglasses"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715d918d7dab147800729","2025-03-16T18:18:01.692000","2025-03-16T18:18:01.692000","","thehizki@gmail.com",""
"activity","climbing","[{""name"":""Climbing shoes"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Chalk bag"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Harness"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715d918e91d9fc98b12d1","2025-03-16T18:18:01.704000","2025-03-16T18:18:01.704000","","thehizki@gmail.com",""
"activity","camping","[{""name"":""Tent"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Sleeping bag"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Flashlight"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""First aid kit"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715d937da67bf48cf36fc","2025-03-16T18:18:01.706000","2025-03-16T18:18:01.706000","","thehizki@gmail.com",""
"activity","sightseeing","[{""name"":""Comfortable shoes"",""category"":""clothing"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Camera"",""category"":""tech"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Water bottle"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Day bag"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715d918e91d9fc98b12d3","2025-03-16T18:18:01.729000","2025-03-16T18:18:01.729000","","thehizki@gmail.com",""
"activity","hiking","[{""name"":""Hiking boots"",""category"":""clothing"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Water bottle"",""category"":""gear"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Bug spray"",""category"":""toiletries"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715d918e91d9fc98b12d5","2025-03-16T18:18:01.766000","2025-03-16T18:18:01.766000","","thehizki@gmail.com",""
"activity","partying","[{""name"":""Party outfit"",""category"":""clothing"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Phone charger"",""category"":""tech"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""ID/Wallet"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715da8a46835a8879bd90","2025-03-16T18:18:02.126000","2025-03-16T18:18:02.126000","","thehizki@gmail.com",""
"activity","business","[{""name"":""Suit"",""category"":""clothing"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Dress shoes"",""category"":""clothing"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Laptop"",""category"":""tech"",""quantity"":1,""weather_dependent"":false,""weather_type"":null},{""name"":""Business cards"",""category"":""essentials"",""quantity"":1,""weather_dependent"":false,""weather_type"":null}]","67d715de37da67bf48cf370f","2025-03-16T18:18:06.341000","2025-03-16T18:18:06.341000","","thehizki@gmail.com",""
